sp,CollectionCode,Subsample,SpecimenCode,CL,PoOC,PrAC,ClyL,CWB,Cweye,FR,TCD,GPD,SL,MW,PEW,MPD,ML,MPH,NOH,HTL,EL,OMD
foersteri,BLF08151,24,CASENT0489228,1.3,0.4,0.59,0.37,1.02,1,0.36,0.26,0.56,1.72,0.86,0.34,1.35,2.01,0.75,0.28,1.58,0.29,0.57
foersteri,BLF09230,,CASENT0499789,1.29,0.4,0.58,0.34,0.99,0.98,0.36,0.26,0.54,1.7,0.83,0.29,1.37,1.89,0.7,0.26,1.58,0.29,0.53
foersteri,BLF15027,,CASENT0118412,1.33,0.41,0.62,0.38,1.03,1.02,0.4,0.28,0.57,1.77,0.84,0.31,1.42,2.05,0.72,0.22,1.63,0.3,0.57
foersteri,BLF09260,,CASENT0487263,1.27,0.4,0.57,0.38,1.02,0.99,0.35,0.26,0.53,1.67,0.8,0.31,1.46,1.92,0.73,0.252,1.54,0.31,0.54
foersteri,BLF29962 ,,CASENT0297039,1.3,0.42,0.59,0.35,0.99,0.97,0.35,0.26,0.53,1.7,0.86,0.33,1.35,2.06,0.72,0.28,1.61,0.31,0.53
foersteri,MA-01-01A-09,,CASENT0085689,1.32,0.43,0.61,0.37,1.02,1,0.4,0.29,0.56,1.72,0.85,0.32,1.36,2.02,0.77,0.26,1.6,0.3,0.57
foersteri,BLF22214,4,CASENT0151734,1.31,0.42,0.62,0.38,1,1.01,0.38,0.28,0.58,1.68,0.84,0.3,1.35,2.01,0.74,0.26,1.62,0.3,0.56
foersteri,BLF29951,,CASENT0300295,1.31,0.42,0.6,0.37,0.99,0.97,0.38,0.27,0.56,1.7,0.86,0.33,1.37,2.07,0.74,0.28,1.63,0.31,0.54
foersteri,BLF03340,,CASENT0484567,1.27,0.38,0.57,0.36,0.97,0.96,0.36,0.26,0.54,1.76,0.85,0.31,1.3,1.97,0.72,0.23,1.56,0.3,0.53
foersteri,BLF08975,,CASENT0494528,1.29,0.4,0.58,0.35,0.96,0.94,0.37,0.26,0.54,1.75,0.82,0.29,1.38,1.85,0.68,0.25,1.57,0.3,0.54
